"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"output\INS-02-020\approval\approval.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\INS-02-020\approval\approval.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\INS-02-020\approval\approval.dita","REFERENCE","reference_structural_rules.sch","WARNING","Gate 2","QUALITY-007","[QUALITY-007] <section> has no @id and cannot be the target of a cross-reference. Add @id if this section needs to be linked to."
"output\INS-02-020\approval_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\INS-02-020\inspection_supervisor_responsibilities.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\INS-02-020\procedure_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\purpose_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\reference_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\reference_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\INS-02-020\revision_history\revision_history.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\INS-02-020\revision_history\revision_history.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\INS-02-020\revision_history\revision_history.dita","REFERENCE","reference_structural_rules.sch","WARNING","Gate 2","QUALITY-007","[QUALITY-007] <section> has no @id and cannot be the target of a cross-reference. Add @id if this section needs to be linked to."
"output\INS-02-020\revision_history_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
