"No","DITA File Path","Document Type","Transformation Status","XSLT Pipeline Applied","Failed XSLT","Error Line","Error Description"
"1","output/INS-02-020/approval/approval.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"2","output/INS-02-020/approval_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"3","output/INS-02-020/inspection_supervisor_responsibilities.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"4","output/INS-02-020/inspection_supervisor_responsibilities.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"5","output/INS-02-020/procedure/procedure.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"6","output/INS-02-020/procedure_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"7","output/INS-02-020/purpose/purpose.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"8","output/INS-02-020/purpose_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"9","output/INS-02-020/reference/document_classification.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"10","output/INS-02-020/reference/reference.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"11","output/INS-02-020/reference_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"12","output/INS-02-020/revision_history/revision_history.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"13","output/INS-02-020/revision_history_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
