DITA File,XSLT,Status,Time (ms),Error,Output File
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.dita,unescape-tags.xsl,success,17,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.dita,fix_p_warning_to_note.xsl,success,7,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.dita,fix_consecutive_p_to_list.xsl,success,26,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.dita,table.xsl,success,6,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.dita,concept.xsl,success,8,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.ditamap,unescape-tags.xsl,success,5,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.ditamap
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.ditamap,fix_p_warning_to_note.xsl,success,4,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.ditamap
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.ditamap,fix_consecutive_p_to_list.xsl,success,5,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.ditamap
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.ditamap,table.xsl,success,4,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.ditamap
C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\pre-xslt-output\airpodspro3info.ditamap,map.xsl,success,3,,C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.ditamap
